,text
311,In  the groundbased LIGO observatory cracked open the window into gravitational waves disturbances that sweep across spacetime the fabric of our universe said Mark Clampin director of the Astrophysics Division at NASA Headquarters in Washington
312,LISA will give us a panoramic view allowing us to observe a broad range of sources both within our galaxy and far far beyond it
313,Were proud to be part of this international effort to open new avenues to explore the secrets of the universe
314,The LISA mission will enable observations of gravitational waves produced by merging supermassive black holes seen here in a computer simulation
315,Most big galaxies contain central black holes weighing millions of times the mass of our Sun
316,Credit NASAs Goddard Space Flight CenterScott Noble simulation data dAscoli et al
317,NASA will provide several key components of LISAs instrument suite along with science and engineering support
318,NASA contributions include lasers telescopes and devices to reduce disturbances from electromagnetic charges
319,LISA will use this equipment as it measures precise distance changes caused by gravitational waves over millions of miles in space
320,ESA will provide the spacecraft and oversee the international team during the development and operation of the mission
321,Gravitational waves were predicted by Albert Einsteins general theory of relativity more than a century ago
322,They are produced by accelerating masses such as a pair of orbiting black holes
323,Because these waves remove orbital energy the distance between the objects gradually shrinks over millions of years and they ultimately merge
324,National Science Foundation measured gravitational waves from the merger of two black holes
325,Along with other groundbased facilities LIGO has since observed dozens more black hole mergers as well as mergers of neutron stars and neutron starblack hole systems
326,So far the black holes detected through gravitational waves have been relatively small with masses of tens to perhaps a hundred times that of our Sun
327,LISA is designed to sense lowfrequency gravitational waves that instruments on Earth cannot detect said Ira Thorpe the NASA study scientist for the mission at the agencys Goddard Space Flight Center in Greenbelt Maryland
328,These sources encompass tens of thousands of small binary systems in our own galaxy as well as massive black holes merging as galaxies collided in the early universe
329,Gravitational waves from a simulated population of compact binary systems in our galaxy were used to construct this synthetic map of the entire sky
330,Such systems contain white dwarfs neutron stars or black holes in tight orbits
331,Maps like this using real data will be possible once the LISA mission becomes active in the next decade
332,The center of our Milky Way galaxy lies at the center of this allsky view with the galactic plane extending across the middle
333,Brighter spots indicate sources with stronger gravitational signals and lighter colors indicate those with higher frequencies
334,NASAs Goddard Space Flight Center LISA will consist of three spacecraft flying in a vast triangular formation that follows Earth in its orbit around the Sun
335,The spacecraft will track internal test masses affected only by gravity
336,At the same time theyll continuously fire lasers to measure their separations to within a span smaller than the size of a helium atom
337,Gravitational waves from sources throughout the universe will produce oscillations in the lengths of the triangles arms and LISA will capture these changes
338,The spacecraft demonstrated the exquisite control and precise laser measurements needed for LISA
339,By Francis Reddy NASAs Goddard Space Flight Center Greenbelt Md
340,New Images From Euclid Mission Reveal Wide View of the Dark Universe  MIN READ With NASA contributions the mission will complement dark energy studies to be made by the agencys upcoming Nancy Grace Roman Space Telescope
341,Dark matter is an invisible substance five times more common in the universe than regular matter but with an unknown composition
342,Dark energy is the name given to the unknown source causing the universe to expand faster and faster
343,Scientists will then chart the presence of dark matter with higher precision than ever before
344,The five new images feature views of varying sizes  from a starforming region in the Milky Way galaxy to clusters of hundreds of galaxies  and were taken shortly after Euclids launch in July  as part of its early release observations program
345,The new images related science papers and data are available at the Euclid website
346,A prerecorded program by ESA about these findings is available on ESA TV and YouTube
347,Mission planners with NASAs forthcoming Nancy Grace Roman Space Telescope will use Euclids findings to inform Romans complementary dark energy work
348,Scientists will use Roman with its better sensitivity and sharpness to extend the kind of science Euclid enables by studying fainter and more distant galaxies
349,Sometimes the warping is so powerful it can create rings pronounced arcs or multiple images of the same galaxy  a phenomenon called strong gravitational lensing
350,Because dark energy is a relatively weak effect we need larger surveys to give us more data and better statistical precision said Mike Seiffert the NASA project scientist for Euclid at the agencys Jet Propulsion Laboratory in Southern California
351,We need to look at a much bigger area but still be able to detect these subtle effects
352,To make that happen we needed a specialized space telescope like Euclid
353,The telescope uses two instruments that detect different wavelengths of light the visiblelight imager VIS and the nearinfrared spectrometer and photometer NISP
354,Foreground galaxies emit more light in visible wavelengths those the human eye can perceive while background galaxies are typically brighter in infrared wavelengths
355,And Euclid can make these types of deep wide highresolution images hundreds of times faster than other telescopes
356,While dark matter and dark energy are central to the Euclid the mission has a variety of other astronomical applications
357,Euclids largearea sky map can for instance be used to discover faint objects and observe changes in cosmic objects like a star changing in brightness
358,Thought to form like stars but not quite large enough to begin fusion in their cores these objects highlight the differences between stars and planets
359,Its both thrilling and a little overwhelming to keep up with all the developments
360,In addition to designing and fabricating the sensorchip electronics for Euclids Near Infrared Spectrometer and Photometer NISP instrument JPL led the procurement and delivery of the NISP detectors as well
361,Those detectors along with the sensor chip electronics were tested at NASAs Detector Characterization Lab at Goddard Space Flight Center in Greenbelt Maryland
362,The Euclid NASA Science Center at IPAC ENSCI at Caltech in Pasadena California will archive the science data and support U
363,For more information about Euclid go to  For more information about Roman go to  Calla Cofield Jet Propulsion Laboratory Pasadena Calif
364,gov  Researchers analyzing data from NASAs James Webb Space Telescope have pinpointed three galaxies that may Using observations by NASAs TESS Transiting Exoplanet Survey Satellite and many other facilities two international Missions Humans in Space Climate Change Solar System NASA explores the unknown in air and space innovates for the benefit of humanity and inspires the world through discovery
365,Copyright   by Spacetime Publications Limited Foreword copyright   by Eddie Redmayne Introduction copyright   by Kip Thorne Afterword copyright   by Lucy Hawking All rights reserved
366,Published in the United States by Bantam Books an imprint of Random House a division of Penguin Random House LLC New York
367,B ANTAM   B OOKS  and the  H OUSE  colophon are registered trademarks of Penguin Random House LLC
368,Published in the United Kingdom by John Murray Publishers a Hachette UK Company
369,Photograph of the adult Stephen Hawking  Andre Pattenden Hardback ISBN   Ebook ISBN   randomhousebooks
370,com Text design by Craig Burgess adapted for ebook Cover design Dan Rembert Cover image  Shutterstock v
371,This book draws from this personal archive and was in development at the time of his death
372,It has been completed in collaboration with his academic colleagues his family and the Stephen Hawking Estate
373,A percentage of the royalties will go to the Motor Neurone Disease Association and the Stephen Hawking Foundation
374,Foreword Eddie Redmayne The first time I met Stephen Hawking I was struck by his extraordinary power and his vulnerability
375,He also insisted that I call him Stephen and stop referring to him as Professor
376,I had been told The opportunity to portray Stephen was an extraordinary one
377,I was drawn to the role because of the duality of Stephens external triumph in his scientific work and the internal battle against motor neurone disease starting in his early twenties
378,His was a unique complex rich story of human endeavour family life huge academic achievement and sheer defiance in the face of all obstacles
379,In my trailer I ended up having three images that I referred to
380,One was Einstein with his tongue out because theres that similar playful wit with Hawking
381,The greatest pressure in playing a living person is that you will have to account for your performance to the person you have portrayed
382,I replied that if it was otherwise perhaps he could just say otherwise and spare me the excoriating details
383,He was moved by it but famously he also stated that he thought there should have been more physics and fewer feelings
384,Since  The Theory of Everything  I have stayed in contact with the Hawking family
385,I was touched to be asked to give a reading at Stephens funeral
386,We have lost a truly beautiful mind an astonishing scientist and the funniest man I have ever had the pleasure to meet
387,But as his family said at the time of Stephens death his work and legacy will live on and so it is with sadness but also great pleasure that I introduce you to this collection of Stephens writings on diverse and fascinating topics
388,I hope you enjoy his writings and to quote Barack Obama I hope Stephen is having fun up there among the stars
389,Thorne I first met Stephen Hawking in July  in London England at a Conference on General Relativity and Gravitation
390,Stephen was in the midst of his PhD studies at the University of Cambridge I had just completed mine at Princeton University
391,Rumours swirled around the conference halls that Stephen had devised a compelling argument that our universe  must  have been born at some finite time in the past
392,So along with some  people I squeezed into a room designed for forty to hear Stephen speak
393,His lucid reasoning relied on Einsteins general relativity equations and on astronomers observations that our universe is expanding and on a few simple assumptions that seemed very likely to be true and it made use of some new mathematical techniques that Roger Penrose had recently devised
394,Combining all these in ways that were clever powerful and compelling Stephen deduced his result our universe must have begun in some sort of singular state roughly ten billion years ago
395,Not just by his argument and conclusion but more importantly by his insightfulness and creativity
396,So I sought him out and spent an hour talking privately with him
397,That was the beginning of a lifelongfriendship a friendship based not just on common science interests but on a remarkable mutual sympathy an uncanny ability to understand each other as human beings
398,Soon we were spending more time talking about our lives our loves and even death than about science though our science was still much of the glue that bound us together
399,In September  I took Stephen and his wife Jane to Moscow Russia
400,Despite the raging Cold War I had been spending a month or so in Moscow every other year since  collaborating on research with members of a group led by Yakov Borisovich Zeldovich
401,Zeldovich was a superb astrophysicist and also a father of the Soviet hydrogen bomb
402,Because of his nuclear secrets he was forbidden to travel to Western Europe or America
403,He craved discussions with Stephen he could not come to Stephen so we went to him
404,In Moscow Stephen wowed Zeldovich and hundreds of other scientists with his insights and in return Stephen learned a thing or two from Zeldovich
405,Most memorable was an afternoon that Stephen and I spent with Zeldovich and his PhD student Alexei Starobinsky in Stephens room in the Rossiya Hotel
406,Zeldovich explained in intuitive ways a remarkable discovery they had made and Starobinsky explained it mathematically
407,A black hole they explained can use its spin energy to create particles and the particles will fly away carrying the spin energy with them
408,We already knew other ways of extracting a black holes spin energy this was just a new though unexpected way
409,Now the great value of conversations like this is that they can trigger new directions of thought
410,He mulled over the ZeldovichStarobinsky discovery for several months looking at it first from one direction and then from another until one day it triggered a truly radical insight in Stephens mind after a black hole stops spinning the hole can still emit particles
411,It can radiateand it radiates as though the black hole was hot like the Sun though not very hot just mildly warm
412,A hole that weighs as much as the Sun has a temperature of
413,This Hawking temperature of a black hole and its Hawking radiation as they came to be called were truly radicalperhaps the most radical theoretical physics discovery in the second half of the twentieth century
414,He deduced that the amount of entropy the logarithm of the holes amount of randomness is proportional to the holes surface area
415,For the past fortyfive years Stephen and hundreds of other physicists have struggled to understand the precise nature of a black holes randomness
416,It is a question that keeps on generating new insights about the marriage of quantum theory with general relativitythat is about the illunderstood laws of quantum gravity
417,In autumn  Stephen brought his PhD students and his family his wife Jane and their two children Robert and Lucy to Pasadena California for a year so that he and his students could participate in the intellectual life of my university Caltech and merge temporarily with my own research group
418,During that year Stephen and his students and some of mine struggled to understand black holes more deeply as did I to some degree
419,But Stephens presence and his leadership in our joint groups black hole research gave me freedom to pursue a new direction that I had been contemplating for some years gravitational waves
420,Electromagnetic waves consist of oscillating electric and magnetic forces that travel at light speed
421,That information can then be amplified and fed into a loudspeaker or on to a TV screen for humans to comprehend
422,Gravitational waves according to Einstein consist of an oscillatory space warp an oscillating stretch and squeeze of space
423,Rai proposed using laser beams to measure the oscillating pattern of this stretch and squeeze
424,The laser light could extract a gravitational waves information and the signal could then be amplified and fed into a computer for human comprehension
425,During the  years since then electromagnetic astronomy has completely revolutionised our understanding of the universe
426,Gravitational waves we concluded are the ideal tool for exploring and testing Stephens insights about black holes
427,More generally it seemed to us gravitational waves are so radically different from electromagnetic waves that they were almost guaranteed to create their own new revolution in our understanding of the universe perhaps comparable to the enormous electromagnetic revolution that followed Galileo if  these elusive waves could be detected and monitored
428,So during that glorious year with Stephens and my research groups merged at Caltech I spent much of my time exploring the prospects for gravitationalwave success
429,Shortly after Stephens return to Cambridge my exploration reached fruition with an allnight intense discussion between Rai Weiss and me in Rais hotel room in Washington DC
430,I became convinced that the prospects for success were great enough that I should devote most of my own career and my future students research to helping Rai and other experimenters achieve our gravitationalwave vision
431,On September   the LIGO gravitationalwave detectors built by a person project that Rai and I and Ronald Drever cofounded and Barry Barish organised assembled and led registered their first gravitational waves
432,During our glorious year of  while I was dithering over gravitational waves and Stephen was leading our merged group in black hole research Stephen himself had an insight even more radical than hisdiscovery of Hawking radiation
433,This is radical because the laws of quantum physics insist unequivocally that information can never get totally lost
434,So if Stephen was right black holes violate a most fundamental quantum mechanical law
435,The great majority of theoretical physicists find this conclusion abhorrent
436,And so for fortyfour years they have struggled with this socalled informationloss paradox
437,It is a struggle well worth the effort and anguish that have gone into it since this paradox is a powerful key for understanding the quantum gravity laws
438,Stephen himself in  found a way that information might escape during the holes evaporation but that did not quell theorists struggles
439,Stephen did not  prove  that the information escapes so the struggle continues
440,In my eulogy for Stephen at the interment of his ashes at Westminster Abbey I memorialised that struggle with these words Newton gave us answers
441,And Hawkings questions themselves keep on giving generating breakthroughs decades later
442,I dont have enough skills wisdom or selfconfidence to tackle them
443,Stephen by contrast was always attracted to big questions whether they were deeply rooted in his science or not
444,He  did  have the necessary skills wisdom and self confidence
445,Stephens answers to six of the questions are deeply rooted in his science
446,Here you will find him discussing in depth the issues that Ive described briefly in this Introduction and also much much more
447,His answers to the other four big questions cannot possibly be rooted solidly in his science
448,Will we survive on Earth Is there other intelligent life in the universe Should we colonise space Will artificial intelligence outsmart us Nevertheless his answers display deep wisdom and creativity as we should expect
449,I hope you find his answers as stimulating and insightful as do I
450,But real science can be far stranger than science fiction and much more satisfying
451,And a scientist with a deep fascination with physics cosmology the universe and the future of humanity
452,I was brought up by my parents to have an unwavering curiosity and like my father to research and try to answer the many questions that science asks us
453,I have spent my life travelling across the universe inside my mind
454,Through theoretical physics I have sought to answer some of the great questions
455,At one point I thought I would see the end of physics as we know it but now I think the wonder of discovery will continue long after I am gone
456,We are close to some of these answers but we are not there yet
457,The problem is most people believe that real science is too difficult and complicated for them to understand
458,To do research on the fundamental laws that govern the universe would require a commitment of time that most people dont have the world would soon grind to a halt if we all tried to do theoretical physics
459,It has been a glorious time to be alive and doing research in theoreticalphysics
460,Our picture of the universe has changed a great deal in the last fifty years and Im happy if I have made a contribution
461,One of the great revelations of the space age has been the perspective it has given humanity on ourselves
462,It is such a simple image with a compelling message one planet one human race
463,Let them rise to the challenge of the sustainable development goals and act not out of selfinterest but out of common interest
464,I have written about my life before but some of my early experiences are worth repeating as I think about my lifelong fascination with the big questions
465,In fact a V rocket landed a few houses away from ours
466,I was away with my mother and sister at the time and fortunately my father was not hurt
467,In  my fathers place of work moved to the northern edge of London to the newly constructed National Institute for Medical Research in Mill Hill so my family relocated to the cathedral city of St Albansnearby
468,I was never more than about halfway up the classit was a very bright class but my classmates gave me the nickname Einstein so presumably they saw signs of something better
469,I had six or seven close friends in St Albans and I remember having long discussions and arguments about everything from radiocontrolled models to religion
470,One of the big questions we discussed was the origin of the universe and whether it required a God to create it and set it going
471,I had heard that light from distant galaxies was shifted towards the red end of the spectrum and this was supposed to indicate that the universe was expanding
472,But I was sure there must be some other reason for the red shift
473,Maybe light got tired and more red on its way to us An essentially unchanging and everlasting universe seemed so much more natural
474,It was only years later after the discovery of the cosmic microwave background about two years into my PhD research that I realised I had been wrong
475,My practical abilities never matched up to my theoretical qualities
476,My father encouraged my interest in science and was very keen that I should go to Oxford or Cambridge
477,He himself had gone to University College Oxford so he thought I should apply there
478,At that time University College had no fellow in mathematics so I had little option but to try for a scholarship in natural science
479,The prevailing attitude at Oxford at that time was very antiwork
480,You were supposed to be brilliant without effort or to accept your limitations and get a fourthclass degree
481,I took this as an invitation to do very little
482,Im not proud of this Im just describing my attitude at the time shared by most of my fellow students
483,One result of my illness has been to change all that
484,Because of my lack of work I had planned to get through the finalexam by avoiding questions that required any factual knowledge and focus instead on problems in theoretical physics
485,But I didnt sleep the night before the exam and so I didnt do very well
486,In the interview they asked me about my future plans
487,If they gave me a first I would go to Cambridge
488,If I only got a second I would stay in Oxford
489,In the long vacation following my final exam the college offered a number of small travel grants
490,I thought my chances of getting one would be greater the further I proposed to go so I said I wanted to go to Iran
491,In the summer of  I set out taking a train to Istanbul then on to Erzuerum in eastern Turkey then to Tabriz Tehran Isfahan Shiraz and Persepolis the capital of the ancient Persian kings
492,On my way home I and my travelling companion Richard Chiin were caught in the Bouin Zahra earthquake a massive
493,I must have been near the epicentre but I was unaware of it because I was ill and in a bus that was bouncing around on the Iranian roads that were then very uneven
494,Despite the earthquake I have many fond memories of my time in Iran
495,Intense curiosity about the world can put one in harms way but for me this was probably the only time in my life that this was true
496,I had applied to work with Fred Hoyle the most famous British astronomer of the time
497,I say astronomer because cosmology then was hardly recognised as a legitimate field
498,I began my work by reading old textbooks on general relativityas ever drawn to the biggest questions
499,The winter after I arrived in Cambridge was very cold
500,I fell over and had great difficulty getting up again
501,My mother realised something was wrong and took me to the doctor
502,I spent weeks in St Bartholomews Hospital in London and had many tests
503,I also learned that people with this disease gradually lose the ability to control their movements to speak to eat and eventually to breathe
504,Understandably I became depressed and couldnt see the point of continuing to research my PhD because I didnt know if I would live long enough to finish it
505,But then the progression slowed down and I had a renewed enthusiasm for my work
506,After my expectations had been reduced to zero every new day became abonus and I began to appreciate everything I did have
507,She was very determined that together we could fight my condition
508,Getting engaged lifted my spirits and I realised if we were going to get married I had to get a job and finish my PhD
509,To support myself during my studies I applied for a research fellowship at Gonvillle and Cauis College
510,To my great surprise I was elected and have been a fellow of Caius ever since
511,It meant that I could continue my research despite my increasing disability
512,Our first child Robert was born after we had been married about two years
513,Our second child Lucy was born about three years later
514,As a father I would try to instill the importance of asking questions always
515,He wanted to know if there were lots of tiny universes dotted around
516,Surely I thought we already knew that nothing could prevent a massive cold star from collapsing under its own gravity until it reached a singularity of infinite density
517,I realised that similar arguments could be applied to the expansion of the universe
518,A eureka moment came in  a few days after the birth of my daughter Lucy
519,Moreover if two black holes collide and merge to form a single black hole the area of the event horizon around the resulting black hole is greater than the sum of the areas of the event horizons around the original black holes
520,In fact we were so successful with the classical general theory of relativity that I was at a bit of a loose end in  after the publication with George Ellis of our book  The Large Scale Structure of SpaceTime
521,I was expecting that part of an incident wave would beabsorbed and the remainder scattered
522,But to my great surprise I found there seemed to be emission from the black hole itself
523,At first I thought this must be a mistake in my calculation
524,The emission of this thermal radiation from the black hole is now called Hawking radiation and Im proud to have discovered it
525,In  I was elected a fellow of the Royal Society
526,This election came as a surprise to members of my department because I was young and only a lowly research assistant
527,But within three years I had been promoted to professor
528,My work on black holes had given me hope that we would discover a theory of everything and that quest for an answer drove me on
529,In the same year my friend Kip Thorne invited me and my young family and a number of others working in general relativity to the California Institute of Technology Caltech
530,It gave me a considerable degree of independence especially as in the United States buildings and sidewalks are much more accessible for the disabled than they are in Britain
531,Everything seemed so parochial and restricted in Britain compared to the cando attitude in America
532,At the time the landscape was littered with dead trees killed by Dutch elm disease and the country was beset bystrikes
533,I also spent time working with Jim Hartle formulating a theory of the universes birth that we called no boundary
534,By the early s my health continued to worsen and I endured prolonged choking fits because my larynx was weakening and was letting food into my lungs as I ate
535,In  I caught pneumonia on a trip to CERN the European Organisation for Nuclear Research in Switzerland
536,I was rushed to the Lucerne Cantonal Hospital and put on to a ventilator
537,But Jane refused and had me flown back to Addenbrookes Hospital in Cambridge by air ambulance
538,As most of you will know a tracheostomy takes away the ability to speak
539,If it is slurred as mine was people can think you are mentally deficient and treat you accordingly
540,Luckily a computer expert in California named Walt Woltosz heard of my difficulties
541,He sent me a computer program he had written called Equalizer
542,I can claim to be the most connected person in the world
543,I first had the idea of writing a popular book about the universe in  around the time of my noboundary work
544,Appropriately enough  A Brief History of Time  was first published on April Fools Day in
545,Indeed the book was originally meant to be called  From the Big Bang to Black Holes A Short History of Time
546,The title was shortened and changed to brief and the rest is history
547,I never expected  A Brief History of Time  to do as well as it has
548,Not everyone may have finished it or understood everything they read but they at least grappled with one of the big questions of our existence and got the idea that we live in a universe governed by rational laws that through science we can discover and understand
549,To my colleagues Im just another physicist but to the wider public I became possibly the bestknown scientist in the world
550,This is partly because scientists apart from Einstein are not widely known rock stars and partly because I fit the stereotype of a disabled genius
551,I cant disguise myself with a wig and dark glassesthe wheelchair gives me away
552,Being well known and easily recognisable has its pluses and minuses but the minuses are more than outweighed by the pluses
553,I have led an extraordinary life on this planet while at the same time travelling across the universe by using my mind and the laws of physics
554,I have been to the furthest reaches of our galaxy travelled into a black hole and gone back to the beginning of time
555,On Earth I have experienced highs and lows turbulence and peace success and suffering
556,I have been rich and poor I have been ablebodied and disabled
557,I have been enormously privileged through my work in being able to contribute to our understanding of the universe
558,Without them the wonder of it all would be lost on me
559,I want to share my excitement about these big questions and my enthusiasm about this quest
560,One day I hope we will know the answers to all these questions
561,Let us fight for every woman and every man to have the opportunity to live healthy secure lives full of opportunity and love
562,We are all time travellers journeying together into the future
563,But let us work together to make that future a place we want to visit
564,My work was untidy and my handwriting not very good
565,And we talked about everything and specifically the origin of the universe
566,IS THERE A GODS cience is increasingly answering questions that used to be the province of religion
567,The world was a scary place so even people as tough as the Vikings believed in supernatural beings to make sense of natural phenomena like lightning storms or eclipses
568,Nowadays science provides better and more consistent answers but people will always cling to religion because it gives comfort and they do not trust or understand science
569,I do not want to give the impression that my work is about proving or disproving the existence of God
570,My work is about finding a rational framework to understand the universe around us
571,For centuries it was believed that disabled people like me were living under a curse that was inflicted by God
572,Well I suppose its possible that Ive upset someone up there but I prefer to think that everything can be explained another way by the laws of nature
573,If you believe in science like I do you believe that there are certain laws that are always obeyed
574,If you like you can say the laws are the work of God but that is more a definition of God than a proof of his existence
575,In about   BCE  a philosopher called Aristarchus was fascinated by eclipses especiallyeclipses of the Moon
576,He was brave enough to question whether they really were caused by gods
577,He studied the heavens carefully and reached a bold conclusion he realised the eclipse was really the shadow of the Earth passing over the Moon and not a divine event
578,He deduced that the Earth was not the centre of the universe as everyone had thought but that it instead orbits the Sun
579,He suggested that stars were not chinks in the floor of heaven as his contemporaries believed but that stars were other suns like ours only a very long way away
580,The universe is a machine governed by principles or lawslaws that can be understood by the human mind
581,I believe that the discovery of these laws has been humankinds greatest achievement for its these laws of natureas we now call them that will tell us whether we need a god to explain the universe at all
582,And there are many other laws at work here too
583,They apply not just to the flight of a ball but to the motion of a planet and everything else in the universe
584,One could define God as the embodiment of the laws of nature
585,I use the word God in an impersonal sense like Einstein did for the laws of nature so knowing the mind of God is knowing the laws of nature
586,My prediction is that we will know the mind of God by the end of this century
587,I published a book that asked if God created the universe and that caused something of a stir
588,People got upset that a scientist should have anything to say on the matter of religion
589,I think the universe was spontaneously created out of nothing according to the laws of science
590,The laws of science determine the evolution of the universe given its state at one time
591,These laws may or may not have been decreed by God but he cannot intervene to break the laws or they would not be laws
592,That leaves God with the freedom to choose the initial state of the universe but even here it seems there may be laws
593,Despite the complexity and variety of the universe it turns out that to make one you need just three ingredients
594,Lets imagine that we could list them in some kind of cosmic cookbook
595,Matter is all around us in the ground beneath our feet and out in space
596,Vast clouds of gas massive spirals of stars each containing billions of suns stretching away for incredible distances
597,Look up at the Sun and you can feel it on your face energy produced by a star ninetythree million miles away
598,Energy permeates the universe driving the processes that keep it a dynamic endlessly changing place
599,The third thing we need to build a universe is space
600,You can call the universe many thingsawesome beautiful violentbut one thing you cant call it is cramped
601,Einstein realised something quite extraordinary that two of the main ingredients needed to make a universemass and energyare basically the same thing two sides of the same coin if you like
602,His famous equation E  mc   simply means that mass can be thought of as a kind of energy and vice versa
603,So instead of three ingredients we can now say that the universe has just two energy and space
604,At the moment of the Big Bang an entire universe came into existence and with it space
605,It all inflated just like a balloon being blown up
606,At the risk of getting myself into trouble I think we can understand much more the natural phenomena that terrified the Vikings
607,We can even go beyond the beautiful symmetry of energy and matter discovered by Einstein
608,We can use the laws of nature to address the very origins of the universe and discover if the existence of God is the only way to explain it
609,As I was growing up in England after the Second World War it was a time of austerity
610,We were told that you never get something for nothing
611,The secret lies in one of the strangest facts about our cosmos
612,The laws of physics demand the existence of something called negative energy
613,To help you get your head around this weird but crucial concept let me draw on a simple analogy
614,Imagine a man wants to build a hill on a flat piece of land
615,To make this hill he digs a hole in the ground and uses that soil to dig his hill
616,But of course hes not just making a hillhes also making a hole in effect a negative version of the hill
617,The stuff that was in the hole has now become the hill so it all perfectly balances out
618,In this way the positive and the negative add up to zero always
619,This may sound odd but according to the laws of nature concerning gravity and motionlaws that are among the oldest in sciencespace itself is a vast store of negative energy
620,Ill admit that unless mathematics is your thing this is hard to grasp but its true
621,The endless web of billions upon billions of galaxies each pulling on each other by the force of gravity acts like a giant storage device
622,The universe is like an enormous battery storing negative energy
623,The positive side of thingsthe mass and energy we see todayis like the hill
624,The corresponding hole or negative side of things is spread throughout space
625,You have to make it out of other stuff like coffee beans water and perhaps some milk and sugar
626,Thats because at this scale particles such as protons behave according to the laws of nature we call quantum mechanics
627,Since we know the universe itself was once very smallperhaps smaller than a protonthis means something quite remarkable
628,It means the universe itself in all its mindboggling vastness and complexity could simply have popped into existence without violating the known laws of nature
629,From that moment on vast amounts of energy were released as space itself expandeda place to store all the negative energy needed to balance the books
630,But of course the critical question is raised again did God create the quantum laws that allowed the Big Bang to occur In a nutshell do we need a God to set it up so that the Big Bang could bang I have no desire to offend anyone of faith but I think science has a more compelling explanation than a divine creator
631,Our everyday experience makes us think that everything that happens must be caused by something that occurred earlier in time so its natural for us to think that somethingmaybe Godmust have caused the universe to come into existence
632,The laws of nature itself tell us that not only could the universe have popped into existence without any assistance like a proton and have required nothing in terms of energy but also that it is possible thatnothing caused the Big Bang
633,Something very wonderful happened to time at the instant of the Big Bang
634,To understand this mindboggling idea consider a black hole floating in space
635,A typical black hole is a star so massive that it has collapsed in on itself
636,Its gravitational pull is so powerful it warps and distorts not only light but also time
637,As the clock gets closer and closer to the black hole it begins to get slower and slower
638,Now imagine the clock as it enters the black holewell assuming of course that it could withstand the extreme gravitational forcesit would actually stop
639,It stops not because it is broken but because inside the black hole time itself doesnt exist
640,In the last hundred years we have made spectacular advances in our understanding of the universe
641,And just as with modernday black holes floating around in space the laws of nature dictate something quite extraordinary
642,They tell us that here too time itself must come to a stop
643,You cant get to a time before the Big Bang because there was no time before the Big Bang
644,We have finally found something that doesnt have a cause because there was no time for a cause to exist in
645,For me this means that there is no possibility of a creator because there is no time for a creator to have existed in
646,They dont expect the answers to be easy so they are prepared to struggle a bit
647,Time didnt exist before the Big Bang so there is no time for God to make the universe in
648,Its like asking for directions to the edge of the Earththe Earth is a sphere that doesnt have an edge so looking for it is a futile exercise
649,No one created the universe and no one directs our fate
650,This leads me to a profound realisation there is probably no heaven and afterlife either
651,I think belief in an afterlife is just wishful thinking
652,There is no reliable evidence for it and it flies in the face of everything we know in science
653,We have this one life to appreciate the grand design of the universe and for that I am extremely grateful
654,If you like you can call the laws of science God but it wouldnt be a personal God that you would meet and put questions to
655,Prometheus punishment was being chained to a rock for eternity although happily he was eventually liberated by Hercules
656,We have already made remarkable progress in understanding the cosmos
657,I like to think we may not be far off
658,According to the Boshongo people of central Africa in the beginning there was only darkness water and the great god Bumba
659,One day Bumba in pain from stomach ache vomited up the Sun
660,The Sun dried up some of the water leaving land
661,Still in pain Bumba vomited up the Moon the stars and then some animalsthe leopard the crocodile the turtle and finally man
662,These creation myths like many others try to answer the questions we all ask
663,So it cant have been around that long or it would have progressed even more
664,For example according to Bishop Ussher the Book of Genesis placed the beginning of time on October    BCE  at  p
665,On the other hand the physical surroundings like mountains and rivers change very little in a human lifetime
666,They were therefore thought to be a constant background and either to have existed for ever as an empty landscape or to have been created at the same time as the humans
667,For example Aristotle the most famous of the Greek philosophers believed that the universe had existed for ever
668,He suggested the reason we see progress was that floods or other natural disasters had repeatedly set civilisation back to the beginning
669,The motivation for believing in an eternal universe was the desire to avoid invoking divine intervention to create the universe and set it going
670,He felt there were logical contradictions or antimonies either way
671,Both the thesis and the antithesis depended on Kants assumption along with almost everyone else that time was absolute
672,That is to say it went from the infinite past to the infinite future independently of any universe that might or might not exist
673,This is still the picture in the mind of many scientists today
674,In this space and time were no longer absolute no longer a fixed background to events
675,Instead they were dynamical quantities that were shaped by the matter and energy in the universe
676,They were defined onlywithin the universe so it made no sense to talk of a time before the universe began
677,It would be like asking for a point south of the South Pole
678,Although Einsteins theory unified time and space it didnt tell us much about space itself
679,Something that seems obvious about space is that it goes on and on and on
680,But modern instruments like the Hubble space telescope allow us to probe deep into space
681,There are giant elliptical galaxies and spiral galaxies like our own
682,Our own galaxy blocks our view in certain directions but apart from that the galaxies are distributed roughly uniformly throughout space with some local concentrations and voids
683,The density of galaxies appears to drop off at very large distances but that seems to be because they are so far away and faint that we cant make them out
684,Although the universe seems to be much the same at each position in space it is definitely changing in time
685,This was not realised until the early years of the last century
686,Up to then it was thought the universe was essentially constant in time
687,It might have existed for an infinite time but that seemed to lead to absurd conclusions
688,If stars had been radiating for an infinite time they would have heated up the universe until it reached their own temperature
689,So the observation that we have all made that the sky at night is dark is very important
690,It implies that the universe cannot have existed for ever in the state we see today
691,Something must have happened in the past to make the stars turn on a finite time ago
692,Then the light from very distant stars wouldnt have had time to reach us yet
